Ticker;CD_CVM;DENOM_CIA;CNPJ_CIA
SBSP3;14443;CIA SANEAMENTO BASICO EST SAO PAULO;43.776.517/0001-80
SDIA4;-;-;-
SHAP4;-;-;-
SLCE3;20745;SLC AGRICOLA S.A.;89.096.457/0001-55
SMLS3;-;-;-
SMTO3;20516;SAO MARTINHO S.A.;51.466.860/0001-56
SOMA3;-;-;-
STBP3;17892;SANTOS BRASIL PARTICIPACOES S.A.;02.762.121/0001-04
SUBA3;-;-;-
SULA11;-;-;-
SUZB3;13986;SUZANO S.A.;16.404.287/0001-55
SUZB5;13986;SUZANO S.A.;16.404.287/0001-55
SYNE3;21040;SYN PROP & TECH S.A.;08.801.621/0001-86
TAEE11;20257;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;07.859.971/0001-30
TAMM4;-;-;-
TBLE6;-;-;-
TCOC4;-;-;-
TCSL4;-;-;-
TELB3;11258;TELEC BRASILEIRAS S.A. TELEBRAS;00.336.701/0001-04
TELB4;11258;TELEC BRASILEIRAS S.A. TELEBRAS;00.336.701/0001-04
TIMS3;24929;TIM S.A.;02.421.421/0001-11
TLCP4;-;-;-
TMAR5;-;-;-
TMAR6;-;-;-
TMCP4;-;-;-
TNEP4;-;-;-
TNLP3;-;-;-
TNLP4;-;-;-
TOTS3;19992;TOTVS S.A.;53.113.791/0001-22
TPRC6;-;-;-
TRJC6;-;-;-
TRPL4;18376;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;02.998.611/0001-04
TSEP4;-;-;-
TSPC3;-;-;-
TSPC6;-;-;-
UBBR11;-;-;-
UGPA3;18465;ULTRAPAR PARTICIPACOES S.A.;33.256.439/0001-39
UGPA4;18465;ULTRAPAR PARTICIPACOES S.A.;33.256.439/0001-39
UNIP6;11592;UNIPAR CARBOCLORO S.A.;33.958.695/0001-78
USIM3;14320;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;60.894.730/0001-05
USIM5;14320;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;60.894.730/0001-05
USIM6;14320;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;60.894.730/0001-05
VALE3;4170;VALE S.A.;33.592.510/0001-54
VALE5;4170;VALE S.A.;33.592.510/0001-54
VAMO3;24716;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;23.373.000/0001-32
VBBR3;24295;VIBRA ENERGIA S/A;34.274.233/0001-02
VCPA4;-;-;-
VIIA3;-;-;-
VIVA3;24805;VIVARA PARTICIPAÇÕES S.A.;33.839.910/0001-11
VIVO3;-;-;-
VIVO4;-;-;-
VIVT3;17671;TELEFÔNICA BRASIL S.A;02.558.157/0001-62
VIVT4;17671;TELEFÔNICA BRASIL S.A;02.558.157/0001-62
VVAR11;-;-;-
WEGE3;5410;WEG S.A.;84.429.695/0001-11
WHMT3;-;-;-
YDUQ3;21016;YDUQS PARTICIPACOES S.A.;08.807.432/0001-10
